Molecule_ChEMBL_ID	Smiles	Standard_Type	Standard_Value	Standard_Units	Document_Year
CHEMBL5196935	C[C@@H](C1CC1)N1Cc2cc(-c3ccn4nc(N)c(C(=O)N[C@H]5CC[C@@](C)(O)CC5)c4n3)cc(OC(F)(F)F)c2C1=O	Papp	4.7	10^-6 cm/s	2022
CHEMBL512	CN/C(=C\[N+](=O)[O-])NCCSCc1ccc(CN(C)C)o1	Papp	0.3	10^-6 cm/s	2022
CHEMBL4757224	CC(=O)N1CCC[C@H]1C(=O)N[C@@H]1COC(=O)c2ccccc2CSC[C@H](C(=O)N(C)C)NC1=O	Papp	1.6	10^-6 cm/s	2022
CHEMBL5080104	OC[C@H]1O[C@@H](Oc2ccc(Cc3ccc(O)cc3)cc2)[C@H](O)[C@@H](O)[C@@H]1O	Papp	1.3	10^-6 cm/s	2022
CHEMBL4208207	CC(C)C[C@H](NC(=O)[C@@H](O)[C@H](N)Cc1ccccc1)C(=O)NCCOCCOCCOc1ccc2nc(/N=N/c3ccc(N(C)C)cc3)sc2c1	Papp	0.196	10^-6 cm/s	2022
CHEMBL5189174	CCOc1ccnc(CNC(=O)c2cn(Cc3ccc(Cn4ccccc4=O)cc3)nc2COC)c1F	Papp	11	10^-6 cm/s	2022
CHEMBL5204354	COc1ccnc(CNC(=O)c2cn(Cc3ccc(Cn4ccccc4=O)cc3)nc2C(F)(F)F)c1F	Papp	17	10^-6 cm/s	2022
CHEMBL5174740	COc1cc2cc(Oc3ccc(NC(=O)Nc4cc(C(F)(F)F)cc(C(F)(F)F)c4)cc3)c(C)nc2cc1OCCN1CCOCC1	Papp	0.4	10^-6 cm/s	2022
CHEMBL5077467	CN(C)C1CN(Cc2ccc(NC(=O)c3ccc(OCCCl)c([N+](=O)[O-])c3)cc2C(F)(F)F)C1	Papp	1.25	10^-6 cm/s	2022
CHEMBL5079093	FC(F)(F)c1ccccc1-c1nc(NCc2ccccn2)c2ccccc2n1	Papp	85	10^-6 cm/s	2022
CHEMBL5090399	Cc1cnc(-c2ccccc2C(F)(F)F)nc1NCc1ccccn1	Papp	106	10^-6 cm/s	2022
CHEMBL5195440	Cc1ccc(F)c2cc(C(=O)N[C@@H]3CCC[C@H](N4CCN5C(=O)CC[C@H]5C4)C3)[nH]c12	Papp	4.3	10^-6 cm/s	2022
CHEMBL5177422	COc1ccc(-c2cn3ccc(N4CCN(C5CCCC5)CC4)cc3n2)c(OCCCN2CCCC2)c1	Papp	3.54	10^-6 cm/s	2022
CHEMBL24	CC(C)NCC(O)COc1ccc(CC(N)=O)cc1	Papp	1.5	10^-6 cm/s	2022
CHEMBL5083403	Fc1ccc([C@]2(CCNCc3cccc(Cl)c3)CCO[C@]3(CCOC3)C2)nc1	Papp	5.2	10^-6 cm/s	2022
CHEMBL5173943	COC[C@H]1O[C@@H](S[C@@H]2O[C@H](COC)[C@H](OC)[C@H](n3cc(-c4cccc(F)c4)nn3)[C@H]2OC)[C@H](OC)[C@@H](n2cc(-c3cccc(F)c3)nn2)[C@H]1OC	Papp	72	10^-6 cm/s	2022
CHEMBL5091591	Cc1ccc(F)c2cc(C(=O)N[C@@H]3CCC[C@H](N4CC[C@H](N(C)S(C)(=O)=O)C4)C3)[nH]c12	Papp	3.2	10^-6 cm/s	2022
CHEMBL5083772	Cn1cc(Nc2nccc(-c3ccc4c(c3)CN(C3COC3)CC[C@H]4NC(=O)c3cn(C(C)(C)C)nn3)n2)cn1	Papp	37.6	10^-6 cm/s	2022
CHEMBL5201376	CN(C)C(=O)CN1CCC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(C)ccc4n3)cn2)CC1	Papp	15	10^-6 cm/s	2022
CHEMBL5169479	CCn1c(=O)[nH]c(=O)c2c1nc(Cc1nc3ccccc3[nH]1)n2Cc1ccccc1	Papp	3.8	10^-6 cm/s	2022
CHEMBL428647	CC(=O)O[C@H]1C(=O)[C@@]2(C)[C@H]([C@H](OC(=O)c3ccccc3)[C@]3(O)C[C@H](OC(=O)[C@H](O)[C@@H](NC(=O)c4ccccc4)c4ccccc4)C(C)=C1C3(C)C)[C@]1(OC(C)=O)CO[C@@H]1C[C@@H]2O	Papp	1.29	10^-6 cm/s	2022
CHEMBL5189653	Nc1cccc2cc(CNC(=O)c3cnn(Cc4ccc(Cn5ccccc5=O)cc4)c3)ccc12	Papp	2	10^-6 cm/s	2022
CHEMBL5089816	CC(=O)N1CCC[C@H]1C(=O)N[C@@H]1COC(=O)c2cccc(-c3cc(F)c(C(=O)O)c(F)c3)c2CSC[C@H](C(=O)N(C)C)NC1=O	Papp	0.18	10^-6 cm/s	2022
CHEMBL5175881	C#CCOc1ncc(F)c(OCC#C)n1	Papp	28.1	10^-6 cm/s	2022
CHEMBL5203027	CNC(=O)c1cncc(-c2cnn3cc(-c4cnn(C(C)C)c4)c(O[C@H]4CCOC4)nc23)c1	Papp	1.5	10^-6 cm/s	2022
CHEMBL270766	COc1ccc(Cc2ccccc2O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc1	Papp	1.75	10^-6 cm/s	2022
CHEMBL5276988	N/C(=N\S(=O)(=O)c1ccccc1)NCc1cc(-c2ccc(Cl)cc2)n(-c2ccc(Cl)cc2)n1	Papp	3	10^-6 cm/s	2023
CHEMBL5173450	COC(=O)N1CCN([C@H]2CC[C@H](Nc3nc(Nc4cnn(C)c4)nc4ccn(C)c(=O)c34)CC2)CC1	Papp	17	10^-6 cm/s	2022
CHEMBL5174529	CN1CCC(n2cc(Nc3nc(NC4(C)CC4)c4c(=O)n(C)ccc4n3)cn2)CC1	Papp	17	10^-6 cm/s	2022
CHEMBL3343456	Cc1cc(Cc2cccc(-c3ccccc3)c2)n(O)c(=O)c1	Papp	1.09	10^-6 cm/s	2022
CHEMBL5190021	Cc1cc(Cc2ccc(-c3ccccc3)cc2)n(O)c(=O)c1	Papp	1.35	10^-6 cm/s	2022
CHEMBL5172397	O=C(Nc1nc2cccc(C3CCC4(CC3)CN(C(=O)[C@@H]3CC3(F)F)C4)n2n1)C1CC1	Papp	26.86	10^-6 cm/s	2022
CHEMBL5185946	O=c1cc(-c2ccccc2)cc(C2CCCCC2)n1O	Papp	4.33	10^-6 cm/s	2022
